gene_id	gene_type	gene_name
ENSG00000255132	lncRNA	AC090138.1
ENSG00000255388	lncRNA	LINC02741
ENSG00000255171	lncRNA	LINC01499
ENSG00000255279	lncRNA	AC023442.3
ENSG00000254822	lncRNA	AC023442.2
ENSG00000255300	lncRNA	LINC02745
ENSG00000255109	lncRNA	LINC02740
ENSG00000166181	protein_coding	API5
ENSG00000254907	lncRNA	AC087276.2
ENSG00000052841	protein_coding	TTC17
ENSG00000255340	lncRNA	AC087276.3
ENSG00000254577	lncRNA	AC087276.1
ENSG00000283217	lncRNA	AC068205.1
ENSG00000235661	lncRNA	MIR670HG
ENSG00000283341	lncRNA	AC068205.2
ENSG00000149084	protein_coding	HSD17B12
ENSG00000246250	lncRNA	AC087521.2
ENSG00000283375	lncRNA	AC087521.4
ENSG00000166199	protein_coding	ALKBH3
ENSG00000244926	lncRNA	ALKBH3-AS1
ENSG00000254409	lncRNA	AC087521.3
ENSG00000187479	protein_coding	C11orf96
ENSG00000244953	lncRNA	AC087521.1
ENSG00000205126	protein_coding	ACCSL
ENSG00000110455	protein_coding	ACCS
ENSG00000255165	lncRNA	AC134775.1
ENSG00000151348	protein_coding	EXT2
ENSG00000052850	protein_coding	ALX4
ENSG00000255451	lncRNA	AC010768.4
ENSG00000085117	protein_coding	CD82
ENSG00000254693	lncRNA	AC010768.1
ENSG00000255092	lncRNA	AC010768.2
ENSG00000255079	lncRNA	LINC02704
ENSG00000255032	lncRNA	TSPAN18-AS1
ENSG00000157570	protein_coding	TSPAN18
ENSG00000175274	protein_coding	TP53I11
ENSG00000254654	lncRNA	LINC02685
ENSG00000287984	lncRNA	AC068858.1
ENSG00000019485	protein_coding	PRDM11
ENSG00000254664	lncRNA	AC103681.2
ENSG00000019505	protein_coding	SYT13
ENSG00000254497	lncRNA	AC103681.1
ENSG00000254427	lncRNA	LINC02696
ENSG00000255267	lncRNA	LINC02687
ENSG00000255041	lncRNA	AC103855.3
ENSG00000286418	lncRNA	AC018716.2
ENSG00000254651	lncRNA	AC018716.1
ENSG00000254746	lncRNA	AC103855.2
ENSG00000254514	lncRNA	AC103855.1
ENSG00000175264	protein_coding	CHST1
ENSG00000255091	lncRNA	AC087442.1
ENSG00000254519	lncRNA	AC044839.1
ENSG00000255426	lncRNA	AC044839.2
ENSG00000255226	lncRNA	LINC02690
ENSG00000205106	lncRNA	LINC02716
ENSG00000181830	protein_coding	SLC35C1
ENSG00000255447	lncRNA	AC044839.3
ENSG00000121671	protein_coding	CRY2
ENSG00000121653	protein_coding	MAPK8IP1
ENSG00000255498	lncRNA	AC068385.1
ENSG00000234776	protein_coding	C11orf94
ENSG00000121680	protein_coding	PEX16
ENSG00000165905	protein_coding	LARGE2
ENSG00000135365	protein_coding	PHF21A
ENSG00000254653	lncRNA	AC024475.1
ENSG00000255314	lncRNA	AC024475.3
ENSG00000255269	lncRNA	LINC02710
ENSG00000254639	lncRNA	AC116021.1
ENSG00000255007	lncRNA	LINC02489
ENSG00000157613	protein_coding	CREB3L1
ENSG00000149091	protein_coding	DGKZ
ENSG00000110492	protein_coding	MDK
ENSG00000180720	protein_coding	CHRM4
ENSG00000110497	protein_coding	AMBRA1
ENSG00000285658	lncRNA	AC127035.1
ENSG00000180423	protein_coding	HARBI1
ENSG00000175224	protein_coding	ATG13
ENSG00000175220	protein_coding	ARHGAP1
ENSG00000175213	protein_coding	ZNF408
ENSG00000180210	protein_coding	F2
ENSG00000175216	protein_coding	CKAP5
ENSG00000247675	lncRNA	LRP4-AS1
ENSG00000134569	protein_coding	LRP4
ENSG00000286450	lncRNA	AC021573.1
ENSG00000149179	protein_coding	C11orf49
ENSG00000255520	lncRNA	AC090589.2
ENSG00000149182	protein_coding	ARFGAP2
ENSG00000270060	lncRNA	AC090589.3
ENSG00000165912	protein_coding	PACSIN3
ENSG00000134574	protein_coding	DDB2
ENSG00000256897	lncRNA	AC018410.2
ENSG00000134575	protein_coding	ACP2
ENSG00000025434	protein_coding	NR1H3
ENSG00000110514	protein_coding	MADD
ENSG00000256746	lncRNA	AC018410.1
ENSG00000134571	protein_coding	MYBPC3
ENSG00000066336	protein_coding	SPI1
ENSG00000255197	lncRNA	AC090559.1
ENSG00000165915	protein_coding	SLC39A13
ENSG00000165916	protein_coding	PSMC3
ENSG00000165917	protein_coding	RAPSN
ENSG00000149187	protein_coding	CELF1
ENSG00000270072	lncRNA	AC090559.2
ENSG00000213619	protein_coding	NDUFS3
ENSG00000110536	protein_coding	PTPMT1
ENSG00000123444	protein_coding	KBTBD4
ENSG00000231880	lncRNA	KF459542.1
ENSG00000196666	protein_coding	FAM180B
ENSG00000172247	protein_coding	C1QTNF4
ENSG00000109919	protein_coding	MTCH2
ENSG00000165923	protein_coding	AGBL2
ENSG00000109920	protein_coding	FNBP4
ENSG00000030066	protein_coding	NUP160
ENSG00000149177	protein_coding	PTPRJ
ENSG00000254879	lncRNA	PTPRJ-AS1
ENSG00000175619	protein_coding	OR4B1
ENSG00000172208	protein_coding	OR4X2
ENSG00000176567	protein_coding	OR4X1
ENSG00000176555	protein_coding	OR4S1
ENSG00000176547	protein_coding	OR4C3
ENSG00000176540	protein_coding	OR4C5
ENSG00000237388	protein_coding	OR4A47
ENSG00000220948	protein_coding	TRIM51GP
ENSG00000182053	protein_coding	TRIM49B
ENSG00000214891	protein_coding	TRIM64C
ENSG00000086205	protein_coding	FOLH1
ENSG00000258817	protein_coding	OR4C13
ENSG00000221954	protein_coding	OR4C12
ENSG00000287538	lncRNA	AC109635.7
ENSG00000286983	lncRNA	AC109635.6
ENSG00000254518	lncRNA	LINC02750
ENSG00000185926	protein_coding	OR4C46
ENSG00000221840	protein_coding	OR4A5
ENSG00000150244	protein_coding	TRIM48
ENSG00000181961	protein_coding	OR4A16
ENSG00000181958	protein_coding	OR4A15
ENSG00000181939	protein_coding	OR4C15
ENSG00000279514	protein_coding	OR4C16
ENSG00000172188	protein_coding	OR4C11
ENSG00000181927	protein_coding	OR4P4
ENSG00000174982	protein_coding	OR4S2
ENSG00000181903	protein_coding	OR4C6
ENSG00000254804	lncRNA	AP006437.1
ENSG00000186886	protein_coding	OR5D3P
ENSG00000279761	protein_coding	OR5D13
ENSG00000186113	protein_coding	OR5D14
ENSG00000279395	protein_coding	OR5L1
ENSG00000186119	protein_coding	OR5D18
ENSG00000205030	protein_coding	OR5L2
ENSG00000205029	protein_coding	OR5D16
ENSG00000124900	protein_coding	TRIM51
ENSG00000187612	protein_coding	OR5W2
ENSG00000167825	protein_coding	OR5I1
ENSG00000174970	protein_coding	OR10AG1
ENSG00000149133	protein_coding	OR5F1
ENSG00000181785	protein_coding	OR5AS1
ENSG00000172154	protein_coding	OR8I2
ENSG00000181767	protein_coding	OR8H2
ENSG00000181761	protein_coding	OR8H3
ENSG00000167822	protein_coding	OR8J3
ENSG00000181752	protein_coding	OR8K5
ENSG00000174957	protein_coding	OR5J2
ENSG00000181718	protein_coding	OR5T2
ENSG00000172489	protein_coding	OR5T3
ENSG00000181698	protein_coding	OR5T1
ENSG00000181693	protein_coding	OR8H1
ENSG00000280314	protein_coding	OR8K3
ENSG00000150261	protein_coding	OR8K1
ENSG00000172487	protein_coding	OR8J1
ENSG00000172199	protein_coding	OR8U1
ENSG00000279961	protein_coding	OR5R1
ENSG00000150269	protein_coding	OR5M9
ENSG00000174937	protein_coding	OR5M3
ENSG00000181371	protein_coding	OR5M8
ENSG00000255223	protein_coding	OR5M11
ENSG00000254834	protein_coding	OR5M10
ENSG00000255012	protein_coding	OR5M1
ENSG00000172464	protein_coding	OR5AP2
ENSG00000172459	protein_coding	OR5AR1
ENSG00000174914	protein_coding	OR9G1
ENSG00000172457	protein_coding	OR9G4
ENSG00000255433	lncRNA	LINC02735
ENSG00000181273	protein_coding	OR5AK2
ENSG00000183908	protein_coding	LRRC55
ENSG00000134817	protein_coding	APLNR
ENSG00000149115	protein_coding	TNKS1BP1
ENSG00000254662	lncRNA	AP000781.1
ENSG00000149136	protein_coding	SSRP1
ENSG00000109991	protein_coding	P2RX3
ENSG00000156575	protein_coding	PRG3
ENSG00000186652	protein_coding	PRG2
ENSG00000134802	protein_coding	SLC43A3
ENSG00000186907	protein_coding	RTN4RL2
ENSG00000255301	lncRNA	AP002893.1
ENSG00000149150	protein_coding	SLC43A1
ENSG00000134809	protein_coding	TIMM10
ENSG00000214872	protein_coding	SMTNL1
ENSG00000156587	protein_coding	UBE2L6
ENSG00000149131	protein_coding	SERPING1
ENSG00000254602	lncRNA	AP000662.1
ENSG00000166793	protein_coding	YPEL4
ENSG00000172409	protein_coding	CLP1
ENSG00000156599	protein_coding	ZDHHC5
ENSG00000156603	protein_coding	MED19
ENSG00000213593	protein_coding	TMX2
ENSG00000211450	protein_coding	SELENOH
ENSG00000233436	protein_coding	BTBD18
ENSG00000198561	protein_coding	CTNND1
ENSG00000186509	protein_coding	OR9Q1
ENSG00000279051	protein_coding	OR6Q1
ENSG00000255146	lncRNA	AP004247.2
ENSG00000172377	protein_coding	OR9I1
ENSG00000186513	protein_coding	OR9Q2
ENSG00000197887	protein_coding	OR1S2
ENSG00000280204	protein_coding	OR1S1
ENSG00000180475	protein_coding	OR10Q1
ENSG00000172772	protein_coding	OR10W1
ENSG00000197786	protein_coding	OR5B17
ENSG00000172769	protein_coding	OR5B3
ENSG00000172365	protein_coding	OR5B2
ENSG00000172362	protein_coding	OR5B12
ENSG00000285895	lncRNA	AP003557.2
ENSG00000255299	lncRNA	AP003557.1
ENSG00000198283	protein_coding	OR5B21
ENSG00000110031	protein_coding	LPXN
ENSG00000186660	protein_coding	ZFP91
ENSG00000269570	lncRNA	AP001350.1
ENSG00000242689	protein_coding	CNTF
ENSG00000149124	protein_coding	GLYAT
ENSG00000156689	protein_coding	GLYATL2
ENSG00000166840	protein_coding	GLYATL1
ENSG00000255523	lncRNA	AP001652.1
ENSG00000255240	lncRNA	AP001636.3
ENSG00000255151	protein_coding	GLYATL1B
ENSG00000189057	protein_coding	FAM111B
ENSG00000245571	lncRNA	FAM111A-DT
ENSG00000166801	protein_coding	FAM111A
ENSG00000110042	protein_coding	DTX4
ENSG00000197629	protein_coding	MPEG1
ENSG00000214797	lncRNA	AP002358.1
ENSG00000176495	protein_coding	OR5AN1
ENSG00000172324	protein_coding	OR5A2
ENSG00000172320	protein_coding	OR5A1
ENSG00000166884	protein_coding	OR4D6
ENSG00000254466	protein_coding	OR4D10
ENSG00000176200	protein_coding	OR4D11
ENSG00000172742	protein_coding	OR4D9
ENSG00000287264	lncRNA	AP003778.1
ENSG00000255008	lncRNA	LINC02739
ENSG00000255139	lncRNA	AP000442.1
ENSG00000110048	protein_coding	OSBP
ENSG00000166889	protein_coding	PATL1
ENSG00000255355	lncRNA	AP000640.2
ENSG00000172289	protein_coding	OR10V1
ENSG00000166900	protein_coding	STX3
ENSG00000254477	lncRNA	AP000640.1
ENSG00000166902	protein_coding	MRPL16
ENSG00000134812	protein_coding	CBLIF
ENSG00000134827	protein_coding	TCN1
ENSG00000285231	protein_coding	OOSP3
ENSG00000284873	protein_coding	OOSP1
ENSG00000285010	protein_coding	OOSP4A
ENSG00000255393	protein_coding	OOSP4B
ENSG00000149507	protein_coding	OOSP2
ENSG00000149516	protein_coding	MS4A3
ENSG00000149534	protein_coding	MS4A2
ENSG00000254952	lncRNA	LINC02705
ENSG00000110077	protein_coding	MS4A6A
ENSG00000110079	protein_coding	MS4A4A
ENSG00000214787	protein_coding	MS4A4E
ENSG00000166926	protein_coding	MS4A6E
ENSG00000166927	protein_coding	MS4A7
ENSG00000166928	protein_coding	MS4A14
ENSG00000166930	protein_coding	MS4A5
ENSG00000156738	protein_coding	MS4A1
ENSG00000071203	protein_coding	MS4A12
ENSG00000204979	protein_coding	MS4A13
ENSG00000166959	protein_coding	MS4A8
ENSG00000214782	protein_coding	MS4A18
ENSG00000166961	protein_coding	MS4A15
ENSG00000172689	protein_coding	MS4A10
ENSG00000255845	lncRNA	AP000777.1
ENSG00000255959	lncRNA	AP000777.2
ENSG00000256813	lncRNA	AP000777.3
ENSG00000110104	protein_coding	CCDC86
ENSG00000183134	protein_coding	PTGDR2
ENSG00000149506	protein_coding	ZP1
ENSG00000110107	protein_coding	PRPF19
ENSG00000257052	lncRNA	AP003721.4
ENSG00000256944	lncRNA	AP003721.3
ENSG00000110108	protein_coding	TMEM109
ENSG00000256196	lncRNA	AP003721.1
ENSG00000006118	protein_coding	TMEM132A
ENSG00000110446	protein_coding	SLC15A3
ENSG00000013725	protein_coding	CD6
ENSG00000256733	lncRNA	AP003721.2
ENSG00000110448	protein_coding	CD5
ENSG00000167987	protein_coding	VPS37C
ENSG00000229859	protein_coding	PGA3
ENSG00000229183	protein_coding	PGA4
ENSG00000256713	protein_coding	PGA5
ENSG00000167992	protein_coding	VWCE
ENSG00000167986	protein_coding	DDB1
ENSG00000149476	protein_coding	TKFC
ENSG00000162144	protein_coding	CYB561A3
ENSG00000149483	protein_coding	TMEM138
ENSG00000187049	protein_coding	TMEM216
ENSG00000149532	protein_coding	CPSF7
ENSG00000167985	protein_coding	SDHAF2
ENSG00000162148	protein_coding	PPP1R32
ENSG00000255931	lncRNA	AP003108.1
ENSG00000204950	protein_coding	LRRC10B
ENSG00000011347	protein_coding	SYT7
ENSG00000256443	lncRNA	AP003559.1
ENSG00000250230	lncRNA	AP002754.1
ENSG00000255947	lncRNA	AP002754.2
ENSG00000134780	protein_coding	DAGLA
ENSG00000124915	lncRNA	MYRF-AS1
ENSG00000124920	protein_coding	MYRF
ENSG00000134825	protein_coding	TMEM258
ENSG00000168496	protein_coding	FEN1
ENSG00000134824	protein_coding	FADS2
ENSG00000149485	protein_coding	FADS1
ENSG00000221968	protein_coding	FADS3
ENSG00000167994	protein_coding	RAB3IL1
ENSG00000167995	protein_coding	BEST1
ENSG00000167996	protein_coding	FTH1
ENSG00000255553	lncRNA	LINC02733
ENSG00000285656	lncRNA	AP002793.1
ENSG00000149503	protein_coding	INCENP
ENSG00000168515	protein_coding	SCGB1D1
ENSG00000124939	protein_coding	SCGB2A1
ENSG00000254404	lncRNA	AP003306.1
ENSG00000124935	protein_coding	SCGB1D2
ENSG00000110484	protein_coding	SCGB2A2
ENSG00000197745	protein_coding	SCGB1D4
ENSG00000255118	lncRNA	AP003306.2
ENSG00000162174	protein_coding	ASRGL1
ENSG00000255126	lncRNA	AP003064.1
ENSG00000149021	protein_coding	SCGB1A1
ENSG00000255446	lncRNA	AP003064.2
ENSG00000124942	protein_coding	AHNAK
ENSG00000250659	lncRNA	AP001363.1
ENSG00000257058	lncRNA	AP001363.2
ENSG00000254772	protein_coding	EEF1G
ENSG00000149016	protein_coding	TUT1
ENSG00000149480	protein_coding	MTA2
ENSG00000149499	protein_coding	EML3
ENSG00000254964	lncRNA	AP001458.1
ENSG00000149489	protein_coding	ROM1
ENSG00000149541	protein_coding	B3GAT3
ENSG00000089597	protein_coding	GANAB
ENSG00000185085	protein_coding	INTS5
ENSG00000278615	protein_coding	C11orf98
ENSG00000162194	protein_coding	LBHD1
ENSG00000214756	protein_coding	CSKMT
ENSG00000204922	protein_coding	UQCC3
ENSG00000162191	protein_coding	UBXN1
ENSG00000177363	protein_coding	LRRN4CL
ENSG00000168000	protein_coding	BSCL2
ENSG00000162188	protein_coding	GNG3
ENSG00000214753	protein_coding	HNRNPUL2
ENSG00000162222	protein_coding	TTC9C
ENSG00000185670	protein_coding	ZBTB3
ENSG00000168002	protein_coding	POLR2G
ENSG00000267811	lncRNA	AP001160.2
ENSG00000162227	protein_coding	TAF6L
ENSG00000168569	protein_coding	TMEM223
ENSG00000269176	lncRNA	AP001160.3
ENSG00000185475	protein_coding	TMEM179B
ENSG00000162231	protein_coding	NXF1
ENSG00000162236	protein_coding	STX5
ENSG00000269463	lncRNA	AP001160.4
ENSG00000256690	lncRNA	AP001160.1
ENSG00000283268	protein_coding	TEX54
ENSG00000133316	protein_coding	WDR74
ENSG00000255717	lncRNA	SNHG1
ENSG00000168003	protein_coding	SLC3A2
ENSG00000168539	protein_coding	CHRM1
ENSG00000257002	lncRNA	AP000438.1
ENSG00000197901	protein_coding	SLC22A6
ENSG00000149452	protein_coding	SLC22A8
ENSG00000197658	protein_coding	SLC22A24
ENSG00000184999	protein_coding	SLC22A10
ENSG00000196600	protein_coding	SLC22A25
ENSG00000149742	protein_coding	SLC22A9
ENSG00000168004	protein_coding	PLAAT5
ENSG00000287412	lncRNA	AP001591.1
ENSG00000133317	protein_coding	LGALS12
ENSG00000133321	protein_coding	PLAAT4
ENSG00000133328	protein_coding	PLAAT2
ENSG00000176485	protein_coding	PLAAT3
ENSG00000203520	lncRNA	AP000753.1
ENSG00000184743	protein_coding	ATL3
ENSG00000256789	lncRNA	AP000753.2
ENSG00000133318	protein_coding	RTN3
ENSG00000188070	protein_coding	C11orf95
ENSG00000168005	protein_coding	SPINDOC
ENSG00000072518	protein_coding	MARK2
ENSG00000167771	protein_coding	RCOR2
ENSG00000110583	protein_coding	NAA40
ENSG00000176340	protein_coding	COX8A
ENSG00000167770	protein_coding	OTUB1
ENSG00000133315	protein_coding	MACROD1
ENSG00000256824	lncRNA	AP000721.2
ENSG00000256481	lncRNA	AP006333.2
ENSG00000126500	protein_coding	FLRT1
ENSG00000256341	lncRNA	AP006333.1
ENSG00000168439	protein_coding	STIP1
ENSG00000149781	protein_coding	FERMT3
ENSG00000149743	protein_coding	TRPT1
ENSG00000149761	protein_coding	NUDT22
ENSG00000256116	lncRNA	AP001453.1
ENSG00000110011	protein_coding	DNAJC4
ENSG00000173511	protein_coding	VEGFB
ENSG00000173486	protein_coding	FKBP2
ENSG00000286264	protein_coding	AP001453.3
ENSG00000173457	protein_coding	PPP1R14B
ENSG00000256940	lncRNA	PPP1R14B-AS1
ENSG00000257086	lncRNA	AP001453.2
ENSG00000149782	protein_coding	PLCB3
ENSG00000002330	protein_coding	BAD
ENSG00000173264	protein_coding	GPR137
ENSG00000182450	protein_coding	KCNK4
ENSG00000219435	protein_coding	CATSPERZ
ENSG00000173153	protein_coding	ESRRA
ENSG00000173113	protein_coding	TRMT112
ENSG00000126432	protein_coding	PRDX5
ENSG00000236935	lncRNA	AP003774.2
ENSG00000168071	protein_coding	CCDC88B
ENSG00000162302	protein_coding	RPS6KA4
ENSG00000231680	lncRNA	LINC02723
ENSG00000231492	lncRNA	AP003774.1
ENSG00000181908	lncRNA	LINC02724
ENSG00000286816	lncRNA	AP005273.2
ENSG00000232500	lncRNA	AP005273.1
ENSG00000168065	protein_coding	SLC22A11
ENSG00000197891	protein_coding	SLC22A12
ENSG00000110076	protein_coding	NRXN2
ENSG00000237410	lncRNA	AP001092.1
ENSG00000068831	protein_coding	RASGRP2
ENSG00000068976	protein_coding	PYGM
ENSG00000168066	protein_coding	SF1
ENSG00000269038	lncRNA	AP001462.1
ENSG00000168067	protein_coding	MAP4K2
ENSG00000133895	protein_coding	MEN1
ENSG00000171219	protein_coding	CDC42BPG
ENSG00000110047	protein_coding	EHD1
ENSG00000229719	lncRNA	MIR194-2HG
ENSG00000110046	protein_coding	ATG2A
ENSG00000068971	protein_coding	PPP2R5B
ENSG00000149735	protein_coding	GPHA2
ENSG00000168070	protein_coding	MAJIN
ENSG00000168062	protein_coding	BATF2
ENSG00000213465	protein_coding	ARL2
ENSG00000110025	protein_coding	SNX15
ENSG00000168061	protein_coding	SAC3D1
ENSG00000168060	protein_coding	NAALADL1
ENSG00000146670	protein_coding	CDCA5
ENSG00000162300	protein_coding	ZFPL1
ENSG00000187066	protein_coding	TMEM262
ENSG00000149823	protein_coding	VPS51
ENSG00000254501	lncRNA	AP003068.1
ENSG00000149809	protein_coding	TM7SF2
ENSG00000174276	protein_coding	ZNHIT2
ENSG00000255173	lncRNA	AP003068.3
ENSG00000149806	protein_coding	FAU
ENSG00000162298	protein_coding	SYVN1
ENSG00000149792	protein_coding	MRPL49
ENSG00000204710	protein_coding	SPDYC
ENSG00000254614	lncRNA	AP003068.2
ENSG00000014216	protein_coding	CAPN1
ENSG00000287821	lncRNA	AP000944.6
ENSG00000014138	protein_coding	POLA2
ENSG00000287917	lncRNA	AP000944.7
ENSG00000149798	protein_coding	CDC42EP2
ENSG00000133884	protein_coding	DPF2
ENSG00000173825	protein_coding	TIGD3
ENSG00000255478	lncRNA	AP000944.1
ENSG00000162241	protein_coding	SLC25A45
ENSG00000126391	protein_coding	FRMD8
ENSG00000245532	lncRNA	NEAT1
ENSG00000279243	lncRNA	LINC02736
ENSG00000286756	lncRNA	AP000769.6
ENSG00000251562	lncRNA	MALAT1
ENSG00000270117	lncRNA	AP000769.2
ENSG00000142186	protein_coding	SCYL1
ENSG00000168056	protein_coding	LTBP3
ENSG00000260233	lncRNA	SSSCA1-AS1
ENSG00000173465	protein_coding	ZNRD2
ENSG00000176973	protein_coding	FAM89B
ENSG00000173442	protein_coding	EHBP1L1
ENSG00000173338	protein_coding	KCNK7
ENSG00000173327	protein_coding	MAP3K11
ENSG00000197136	protein_coding	PCNX3
ENSG00000213445	protein_coding	SIPA1
ENSG00000173039	protein_coding	RELA
ENSG00000285533	lncRNA	RELA-DT
ENSG00000172977	protein_coding	KAT5
ENSG00000172922	protein_coding	RNASEH2C
ENSG00000255557	lncRNA	AP001266.2
ENSG00000254470	protein_coding	AP5B1
ENSG00000172818	protein_coding	OVOL1
ENSG00000255120	lncRNA	OVOL1-AS1
ENSG00000255404	lncRNA	AP001266.1
ENSG00000172757	protein_coding	CFL1
ENSG00000172803	protein_coding	SNX32
ENSG00000172732	protein_coding	MUS81
ENSG00000172638	protein_coding	EFEMP2
ENSG00000172543	protein_coding	CTSW
ENSG00000172500	protein_coding	FIBP
ENSG00000175602	protein_coding	CCDC85B
ENSG00000175592	protein_coding	FOSL1
ENSG00000175573	protein_coding	C11orf68
ENSG00000175550	protein_coding	DRAP1
ENSG00000175513	protein_coding	TSGA10IP
ENSG00000175467	protein_coding	SART1
ENSG00000175376	protein_coding	EIF1AD
ENSG00000175334	protein_coding	BANF1
ENSG00000175315	protein_coding	CST6
ENSG00000175294	protein_coding	CATSPER1
ENSG00000175229	protein_coding	GAL3ST3
ENSG00000286459	lncRNA	AP006287.3
ENSG00000087365	protein_coding	SF3B2
ENSG00000255038	lncRNA	AP006287.2
ENSG00000175115	protein_coding	PACS1
ENSG00000255320	lncRNA	AP000759.1
ENSG00000174996	protein_coding	KLC2
ENSG00000254461	lncRNA	AP001107.4
ENSG00000254855	lncRNA	AP001107.8
ENSG00000254762	lncRNA	AP001107.7
ENSG00000174903	protein_coding	RAB1B
ENSG00000245156	lncRNA	AP001107.1
ENSG00000254452	lncRNA	AP001107.2
ENSG00000174871	protein_coding	CNIH2
ENSG00000174851	protein_coding	YIF1A
ENSG00000179292	protein_coding	TMEM151A
ENSG00000254458	lncRNA	AP001107.3
ENSG00000174807	protein_coding	CD248
ENSG00000174791	protein_coding	RIN1
ENSG00000254756	lncRNA	AP001107.6
ENSG00000174744	protein_coding	BRMS1
ENSG00000174684	protein_coding	B4GAT1
ENSG00000255468	lncRNA	AP001107.9
ENSG00000174669	protein_coding	SLC29A2
ENSG00000254510	lncRNA	AP001107.5
ENSG00000174576	protein_coding	NPAS4
ENSG00000174547	protein_coding	MRPL11
ENSG00000174516	protein_coding	PELI3
ENSG00000255517	lncRNA	AP002748.4
ENSG00000254986	protein_coding	DPP3
ENSG00000174483	protein_coding	BBS1
ENSG00000286688	lncRNA	AP002748.6
ENSG00000174165	protein_coding	ZDHHC24
ENSG00000248746	protein_coding	ACTN3
ENSG00000250105	lncRNA	AP002748.2
ENSG00000174080	protein_coding	CTSF
ENSG00000182791	protein_coding	CCDC87
ENSG00000173992	protein_coding	CCS
ENSG00000239306	protein_coding	RBM14
ENSG00000173933	protein_coding	RBM4
ENSG00000173914	protein_coding	RBM4B
ENSG00000173898	protein_coding	SPTBN2
ENSG00000173715	protein_coding	C11orf80
ENSG00000173653	protein_coding	RCE1
ENSG00000173599	protein_coding	PC
ENSG00000173621	protein_coding	LRFN4
ENSG00000173237	protein_coding	C11orf86
ENSG00000173227	protein_coding	SYT12
ENSG00000173156	protein_coding	RHOD
ENSG00000173120	protein_coding	KDM2A
ENSG00000287934	lncRNA	AP001885.3
ENSG00000173020	protein_coding	GRK2
ENSG00000172932	protein_coding	ANKRD13D
ENSG00000172830	protein_coding	SSH3
ENSG00000287851	lncRNA	AP001885.2
ENSG00000172613	protein_coding	RAD9A
ENSG00000175482	protein_coding	POLD4
ENSG00000274251	lncRNA	AP003419.2
ENSG00000175505	protein_coding	CLCF1
ENSG00000275484	lncRNA	AP003419.3
ENSG00000172531	protein_coding	PPP1CA
ENSG00000175463	protein_coding	TBC1D10C
ENSG00000172508	protein_coding	CARNS1
ENSG00000175634	protein_coding	RPS6KB2
ENSG00000255949	lncRNA	RPS6KB2-AS1
ENSG00000213402	protein_coding	PTPRCAP
ENSG00000172725	protein_coding	CORO1B
ENSG00000175514	protein_coding	GPR152
ENSG00000175544	protein_coding	CABP4
ENSG00000172663	protein_coding	TMEM134
ENSG00000110711	protein_coding	AIP
ENSG00000110697	protein_coding	PITPNM1
ENSG00000167797	protein_coding	CDK2AP2
ENSG00000167791	protein_coding	CABP2
ENSG00000084207	protein_coding	GSTP1
ENSG00000184224	lncRNA	C11orf72
ENSG00000255119	lncRNA	AP003385.3
ENSG00000167792	protein_coding	NDUFV1
ENSG00000167799	protein_coding	NUDT8
ENSG00000167800	protein_coding	TBX10
ENSG00000132744	protein_coding	ACY3
ENSG00000132746	protein_coding	ALDH3B2
ENSG00000251637	lncRNA	LINC02754
ENSG00000110057	protein_coding	UNC93B1
ENSG00000006534	protein_coding	ALDH3B1
ENSG00000255306	lncRNA	AC004923.4
ENSG00000110717	protein_coding	NDUFS8
ENSG00000110719	protein_coding	TCIRG1
ENSG00000255031	lncRNA	AP002807.1
ENSG00000110721	protein_coding	CHKA
ENSG00000255236	lncRNA	AP002992.1
ENSG00000110066	protein_coding	KMT5B
ENSG00000171067	protein_coding	C11orf24
ENSG00000286369	lncRNA	AP002813.1
ENSG00000162337	protein_coding	LRP5
ENSG00000110075	protein_coding	PPP6R3
ENSG00000260808	lncRNA	AP003096.1
ENSG00000069482	protein_coding	GAL
ENSG00000132749	protein_coding	TESMIN
ENSG00000110090	protein_coding	CPT1A
ENSG00000250508	lncRNA	LINC02701
ENSG00000197345	protein_coding	MRPL21
ENSG00000132740	protein_coding	IGHMBP2
ENSG00000255741	lncRNA	AP000808.1
ENSG00000172938	protein_coding	MRGPRD
ENSG00000261625	lncRNA	AP003071.4
ENSG00000261276	lncRNA	AP003071.3
ENSG00000172935	protein_coding	MRGPRF
ENSG00000256508	lncRNA	MRGPRF-AS1
ENSG00000162341	protein_coding	TPCN2
ENSG00000260895	lncRNA	AP003071.1
ENSG00000261070	lncRNA	AP003071.2
ENSG00000284713	protein_coding	SMIM38
ENSG00000172927	protein_coding	MYEOV
ENSG00000260877	lncRNA	AP005233.2
ENSG00000259854	lncRNA	AP005233.1
ENSG00000255980	lncRNA	AP000439.2
ENSG00000255606	lncRNA	AP000439.1
ENSG00000261347	lncRNA	AP000439.3
ENSG00000255774	lncRNA	LINC02747
ENSG00000285094	lncRNA	LINC01488
ENSG00000110092	protein_coding	CCND1
ENSG00000149716	protein_coding	LTO1
ENSG00000162344	protein_coding	FGF19
ENSG00000075388	protein_coding	FGF4
ENSG00000186895	protein_coding	FGF3
ENSG00000260348	lncRNA	AP007216.1
ENSG00000260679	lncRNA	AP007216.2
ENSG00000255191	lncRNA	AP003555.2
ENSG00000254605	lncRNA	AP003555.1
ENSG00000248844	lncRNA	LINC02753
ENSG00000254417	lncRNA	LINC02584
ENSG00000131620	protein_coding	ANO1
ENSG00000255143	lncRNA	AP000879.2
